"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0709881407598593,0.308852587913027,0.0480209827648986,0.215566917738773,500
"standard deviation",0.141351666074546,0.0801025605344385,0.155023151508204,0.130286816508214,500
"root MSE",0.158163249751297,0.319069048923123,0.162275647753264,0.251873689869206,500
"coverage probability",0.8586,4e-04,0.8862,0.2572,500
"bias",0.0692947511676783,0.165070212147251,0.0257377601325521,0.0917619170817661,1000
"standard deviation",0.0647831694022739,0.045078712369954,0.101772273513971,0.106883242399812,1000
"root MSE",0.0948566402809345,0.17111358458407,0.104966453849371,0.140861606291128,1000
"coverage probability",0.7644,0.0034,0.8596,0.3604,1000
"bias",0.0611883081373626,0.114229592891759,0.00834168968642443,0.0352876940354511,2000
"standard deviation",0.0372896557448773,0.0298889072734465,0.0861730959069496,0.106646028194252,2000
"root MSE",0.0716536766300179,0.118074417215848,0.0865673211120761,0.112322402061578,2000
"coverage probability",0.5946,0.0018,0.8022,0.4366,2000
"bias",0.0500868995531226,0.0874592889482767,0.00624608212587897,0.00993784571880235,3000
"standard deviation",0.0274838610708943,0.0229260224315604,0.0785498486287274,0.0980108411827657,3000
"root MSE",0.0571306314833377,0.0904136306503044,0.0787899628491808,0.0985036270493943,3000
"coverage probability",0.5526,0.004,0.8204,0.5372,3000
"bias",0.0426140103067073,0.0708402478888759,0.0146530748025272,0.00199246264491071,4000
"standard deviation",0.0221490234150651,0.0192561259480235,0.0727581160126752,0.090537063054575,4000
"root MSE",0.0480253578520099,0.073410250972233,0.0742118406872732,0.0905499326448239,4000
"coverage probability",0.5296,0.0088,0.8434,0.6004,4000
"bias",0.0386755765754538,0.0612592618173131,0.0164620971173373,0.0035435753719432,5000
"standard deviation",0.0187916250643204,0.0166006289627465,0.066773797391262,0.0810383621659855,5000
"root MSE",0.0429983112571561,0.063468282820512,0.0687666264371486,0.0811077038618007,5000
"coverage probability",0.4754,0.0096,0.8574,0.631,5000
