"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0143984769473538,0.0380997479000594,0.0236630276519082,0.0257607793390453,500
"standard deviation",0.060158404593239,0.0451248285034202,0.048866820353022,0.0489862044840883,500
"root MSE",0.0618516448841797,0.0590544976058697,0.0542902147338101,0.0553424434974274,500
"coverage probability",0.9682,0.8464,0.9556,0.9376,500
"bias",0.00648009828242233,0.0179878866296197,0.00983441424054103,0.0106587497402288,1000
"standard deviation",0.0363447151473462,0.0327014958974977,0.0341419524225794,0.0341614622273351,1000
"root MSE",0.0369143035316632,0.0373194054315891,0.0355268276672318,0.0357824125295398,1000
"coverage probability",0.9638,0.91,0.9584,0.9492,1000
"bias",0.0041081835725325,0.00771359006090424,0.00490805130614669,0.00530295145553251,2000
"standard deviation",0.0231314159752538,0.0223828195610563,0.0228087099799731,0.0232051121261553,2000
"root MSE",0.0234911167211107,0.0236725555233943,0.0233285698473803,0.0238010677802786,2000
"coverage probability",0.96,0.9422,0.9564,0.954,2000
"bias",0.0031784610038259,0.00481360410387083,0.00351612932481869,0.00362946299844918,3000
"standard deviation",0.0182299459614188,0.0179425328007707,0.0180875592723846,0.0184528583130048,3000
"root MSE",0.0185031639976287,0.0185752760646746,0.0184243733652135,0.0188045973097261,3000
"coverage probability",0.9552,0.9496,0.955,0.9536,3000
"bias",0.00277501786194969,0.00367553060497153,0.00296309649330052,0.00312443868865373,4000
"standard deviation",0.0157989690695229,0.0156028611772486,0.0157407650254915,0.0162256579428158,4000
"root MSE",0.0160392713771277,0.0160284157760269,0.0160156820048235,0.0165221499327806,4000
"coverage probability",0.9546,0.9508,0.954,0.9556,4000
"bias",0.00273910088801718,0.00331229802636758,0.00287066966838824,0.00306631090139616,5000
"standard deviation",0.0139075054642815,0.0138387258966586,0.0138738965535201,0.0144070963004242,5000
"root MSE",0.0141733093585129,0.0142282588742067,0.0141664128459418,0.0147283798657203,5000
"coverage probability",0.955,0.9502,0.9544,0.9552,5000
