"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.799508318737471,0.243061363340642,0.169556661273861,0.0418940442518659
"RMSE",0.908271843876046,0.37168143475286,0.384122766641125,0.326953025997949
