"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.207857100801066,0.269618856619876,0.207883877960212,0.0976696882815036
"RMSE",0.221840844320424,0.273311976917348,0.221865928201351,0.116149638519342
"ENoRMSE",0.29437363117411,0.362673696699085,0.29440691644732,0.154125769558979
"cvrg_prob",0.176,0,0.176,0.824
