"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.00682152780277172,0.00682060528095004,0.00709483971763174,0.00632131487537282
"RMSE",0.0149198632421631,0.0149229542412,0.0150150062871505,0.0149392968263331
"ENoRMSE",0.019798041846942,0.0198021434749052,0.0199242927351392,0.0198238294098967
"cvrg_prob",1,1,1,1
