"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.169679719694434,0.243111952229548,0.169739444738278,0.0419372102916414
"RMSE",0.224712013218527,0.263970559397397,0.224694979773417,0.180538502237127
"ENoRMSE",1.78910132177564,2.1016681305261,1.78896570570989,1.43740278215445
"cvrg_prob",0.552,0.248,0.552,0.9
