"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.763880915036401,0.231335358582524,0.16486845240721,0.0464942428994707
"RMSE",0.764637291580427,0.2353303985745,0.183710939107756,0.0736501765987441
"ENoRMSE",6.08785248928871,1.87364227267273,1.46266093776971,0.586384441198885
"cvrg_prob",0,0.004,0.244,0.956
