"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.120105556980444,0.00432654310052585,0.00358428036340368,0.00645131006727197
"RMSE",0.256135141589243,0.245723057081182,0.243944970509692,0.250480679445128
