"","none","deterministic truncation","adaptive truncation","isotonic regression"
"bias",0.0471515981581529,0.00697675427334332,0.00736568399016772,0.00626410141161799
"RMSE",0.0584489522304869,0.0134592234284634,0.0136846836742168,0.013108912367045
"ENoRMSE",0.465356062607442,0.107158999116439,0.1089540576801,0.104369909320841
"cvrg_prob",0.036,0.912,0.908,0.916
