"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.109392975196901,0.120824988228781,0.109706573030352,0.103714278092964,500
"standard deviation",0.0578129835731866,0.0534939350324386,0.0576495936607963,0.06573585471613,500
"root MSE",0.123727505526659,0.132135182845156,0.123928782452621,0.1227883945456,500
"coverage probability",0.498,0.203,0.4898,0.6248,500
"bias",0.0516236248102019,0.0688963957589016,0.051847194353219,0.0471414362512848,1000
"standard deviation",0.0393062057597529,0.0360724507523483,0.0392003233736874,0.0450622651962466,1000
"root MSE",0.0648819501418559,0.0777667975906629,0.0649960735878069,0.065211322904093,1000
"coverage probability",0.776,0.3704,0.7726,0.8414,1000
"bias",0.0221228733346258,0.0364646155388807,0.0222292310756696,0.0175436727436573,2000
"standard deviation",0.0266761404792132,0.0248526134136988,0.0266232780518736,0.0304021840915529,2000
"root MSE",0.0346539416539077,0.0441270557527969,0.0346813478494715,0.0350982676540268,2000
"coverage probability",0.8862,0.5836,0.8856,0.9296,2000
"bias",0.0148771962370831,0.0257291242647563,0.0149474511017762,0.00922789071108643,3000
"standard deviation",0.0204828682736459,0.0192604766479199,0.0204798489848714,0.0235753915522189,3000
"root MSE",0.025313928004434,0.032138444314313,0.0253528425238717,0.0253148552039869,3000
"coverage probability",0.9114,0.6688,0.911,0.9548,3000
"bias",0.0123835549171645,0.0209939492016318,0.01242419579712,0.00583354962197758,4000
"standard deviation",0.0173271257464315,0.0161240630263415,0.0173135103800417,0.0203690660746658,4000
"root MSE",0.0212960482991975,0.0264703478344437,0.021308644521805,0.0211859900447353,4000
"coverage probability",0.9106,0.7008,0.9098,0.9632,4000
"bias",0.0109647818594407,0.0181456901449958,0.0109925834386896,0.00378884480273218,5000
"standard deviation",0.0148730695969952,0.0139949982631789,0.0148658247504311,0.0177780581830879,5000
"root MSE",0.0184767529296231,0.0229147741692844,0.0184874399963321,0.01817557387897,5000
"coverage probability",0.9148,0.717,0.9144,0.9694,5000
