"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0391253560338266,0.0429259853856049,0.0400257136462428,0.0402440316655977,500
"standard deviation",0.0491516212721976,0.0454185503982069,0.0480679204413354,0.0497133039764682,500
"root MSE",0.0628187247728294,0.0624905782710928,0.0625469473551705,0.0639570198996162,500
"coverage probability",0.928,0.837,0.9156,0.9074,500
"bias",0.0116192716024283,0.0189917556711874,0.0132355809670608,0.0147214149434756,1000
"standard deviation",0.035841455049438,0.033351053416418,0.035125243867913,0.0352243942021135,1000
"root MSE",0.03767440046838,0.0383765174150294,0.0375328736411779,0.0381736801114916,1000
"coverage probability",0.962,0.9124,0.9558,0.943,1000
"bias",0.00381582086000618,0.00779634846616051,0.00476734153114244,0.00615562751878492,2000
"standard deviation",0.024552633875856,0.0232345107107698,0.0241647364545888,0.0241324864337886,2000
"root MSE",0.0248449542706651,0.0245054599809326,0.0246281393186067,0.0249028547810631,2000
"coverage probability",0.9598,0.9412,0.9568,0.9492,2000
"bias",0.00237641731701994,0.00472634118376405,0.00294078027469966,0.00406480666768538,3000
"standard deviation",0.0194178479120998,0.0186467442373762,0.019196413608924,0.0192192386945374,3000
"root MSE",0.019560796666766,0.0192345998509284,0.0194184650168301,0.0196425027279129,3000
"coverage probability",0.9602,0.9544,0.9596,0.9536,3000
"bias",0.00167874709215487,0.00324475130332886,0.0021037318337782,0.00291667106451035,4000
"standard deviation",0.0168226178057173,0.0163381146931966,0.0166793827600494,0.0166016757021765,4000
"root MSE",0.0169044982635595,0.0166556001377962,0.0168098737806931,0.016854301619811,4000
"coverage probability",0.9588,0.9522,0.958,0.9552,4000
"bias",0.00156188045535608,0.00268297170994153,0.00189581800711611,0.00252852787399416,5000
"standard deviation",0.0148420572710529,0.0145102618550165,0.0147407821277373,0.0147452531159225,5000
"root MSE",0.0149225358857411,0.0147547933485249,0.0148607309888167,0.0149590259764564,5000
"coverage probability",0.9594,0.9538,0.958,0.9536,5000
