"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.031270207456918,0.0368524993452826,0.0176924188062169,0.0203023345980787,500
"standard deviation",0.0961338539394523,0.0454035048068286,0.0525753510064761,0.0512317304839352,500
"root MSE",0.101082616725508,0.0584736920425589,0.0554674353396842,0.0551030857617723,500
"coverage probability",0.9748,0.8408,0.957,0.943,500
"bias",0.0099998592194645,0.0183503432138443,0.00643603704276209,0.0080751727245699,1000
"standard deviation",0.0472153841703215,0.0327792163373529,0.0365605749427117,0.0362481162204408,1000
"root MSE",0.0482580959866807,0.037563242995675,0.0371191443574528,0.0371331598288688,1000
"coverage probability",0.9556,0.8966,0.9576,0.95,1000
"bias",0.00219963693415559,0.0079054004768143,0.00238013560057426,0.003116732532806,2000
"standard deviation",0.0264608507979974,0.0225240239550501,0.0242073791170127,0.0245133451175137,2000
"root MSE",0.0265494819586182,0.0238689242634741,0.0243216991542771,0.0247082563066197,2000
"coverage probability",0.956,0.932,0.9534,0.9514,2000
"bias",0.000974148376391019,0.00454399457488852,0.00117662957237398,0.00169083116120497,3000
"standard deviation",0.0201480512280463,0.0182125562886861,0.0192401415316413,0.0193727832180864,3000
"root MSE",0.0201695747241618,0.0187690903834966,0.0192741657847737,0.0194444999597508,3000
"coverage probability",0.9528,0.9432,0.9542,0.954,3000
"bias",0.000428258051852059,0.00307118693071647,0.000798642425016158,0.00125767211991126,4000
"standard deviation",0.0171106467671282,0.0159401211043463,0.0165874490794523,0.0166881455713115,4000
"root MSE",0.0171142946948407,0.0162317230290708,0.0166050073168627,0.0167338053929752,4000
"coverage probability",0.952,0.946,0.9528,0.9516,4000
"bias",0.000617370389270003,0.00203607412255417,0.000311657142074513,0.000675512601950989,5000
"standard deviation",0.0148703985754344,0.0141580980873374,0.0145761193430893,0.0146513702003926,5000
"root MSE",0.0148817228249645,0.0143023511680742,0.0145779934362438,0.0146654707900768,5000
"coverage probability",0.951,0.9446,0.9532,0.9522,5000
