"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.271275825906405,0.33092621301617,0.273126363472808,0.240629214860986,500
"standard deviation",0.0938800640831543,0.0793974381669364,0.0918225884654358,0.0983378854650222,500
"root MSE",0.287057968814964,0.340315810473241,0.288145296506507,0.259943887588077,500
"coverage probability",0.1086,2e-04,0.092,0.2484,500
"bias",0.161343621805008,0.19105687323966,0.159356048740944,0.134996448863569,1000
"standard deviation",0.0543068373014225,0.04473781830043,0.0560996184552122,0.0667837873503307,1000
"root MSE",0.170236326993756,0.196223854064486,0.168940486644582,0.150609506485407,1000
"coverage probability",0.0976,2e-04,0.1282,0.394,1000
"bias",0.107257865070104,0.134058689301904,0.102129661439758,0.0725275392459621,2000
"standard deviation",0.0368425208763929,0.0301127021493043,0.0413777344097322,0.0511429694849739,2000
"root MSE",0.113407889891555,0.137398419398154,0.110191842834672,0.0887430231406954,2000
"coverage probability",0.1348,2e-04,0.2272,0.6354,2000
"bias",0.0822280112006318,0.104652836031517,0.0751759810517953,0.0456229264541153,3000
"standard deviation",0.0289011197608103,0.0234546912563784,0.0341753518136743,0.0424245727882427,3000
"root MSE",0.0871582095645341,0.107248443377344,0.0825781400114702,0.0622971574441985,3000
"coverage probability",0.153,2e-04,0.3036,0.7738,3000
"bias",0.0664520437420973,0.0857472945812013,0.0585432618230858,0.0295949588499653,4000
"standard deviation",0.0241191034545417,0.0197266777183416,0.0301955717521245,0.0373789241346613,4000
"root MSE",0.0706929198910485,0.0879867178239754,0.0658703552731681,0.0476735369151693,4000
"coverage probability",0.1726,4e-04,0.3772,0.8632,4000
"bias",0.0567718618257938,0.0738470837689224,0.0475241379451894,0.02079774091273,5000
"standard deviation",0.0209965346453715,0.0172825241307447,0.0273890596557611,0.0335730073428967,5000
"root MSE",0.0605294192222913,0.0758420574903922,0.0548502893715472,0.0394900926784786,5000
"coverage probability",0.1934,6e-04,0.4418,0.9036,5000
